os_postcode,uprn,pao,street,town,postcode,lr_ccod_address,uprn2,os_lpi_address,os_pao
SE17 3PG,200003499667,WALTERS HOUSE BRANDON ESTATE,OTTO STREET,,,"land lying to the north and south of Lorrimore Square and south of Bethwin Road, London",200003499667,"WALTERS HOUSE BRANDON ESTATE, OTTO STREET, LONDON, SE17 3PG",WALTERS HOUSE BRANDON ESTATE OTTO STREET
SE17 3PF,200003499666,BATEMAN HOUSE BRANDON ESTATE,OTTO STREET,,,"land lying to the north and south of Lorrimore Square and south of Bethwin Road, London",200003499666,"BATEMAN HOUSE BRANDON ESTATE, OTTO STREET, LONDON, SE17 3PF",BATEMAN HOUSE BRANDON ESTATE OTTO STREET
SE17 1ES,200003499657,DAWES HOUSE RODNEY ESTATE,ORB STREET,,,"Land and buildings at Orb Street, London",200003499657,"DAWES HOUSE RODNEY ESTATE, ORB STREET, LONDON, SE17 1ES",DAWES HOUSE RODNEY ESTATE ORB STREET
SE15 1DY,200003499621,WINDERMERE POINT,OLD KENT ROAD,,,"Tustin Estate, Old Kent Road, London",200003499621,"WINDERMERE POINT, OLD KENT ROAD, LONDON, SE15 1DY",WINDERMERE POINT OLD KENT ROAD
SE1 5PG,200003499616,MAWBEY HOUSE MAWBEY ESTATE,OLD KENT ROAD,,,"Land at Mawbey Road, London",200003499616,"MAWBEY HOUSE MAWBEY ESTATE, OLD KENT ROAD, LONDON, SE1 5PG",MAWBEY HOUSE MAWBEY ESTATE OLD KENT ROAD
SE1 5PF,200003499615,LANARK HOUSE MAWBEY ESTATE,OLD KENT ROAD,,,"Land at Mawbey Road, London",200003499615,"LANARK HOUSE MAWBEY ESTATE, OLD KENT ROAD, LONDON, SE1 5PF",LANARK HOUSE MAWBEY ESTATE OLD KENT ROAD
SE15 1DT,200003499611,GRASMERE POINT,OLD KENT ROAD,,,"Tustin Estate, Old Kent Road, London",200003499611,"GRASMERE POINT, OLD KENT ROAD, LONDON, SE15 1DT",GRASMERE POINT OLD KENT ROAD
SE1 5ET,200003499610,GEORGE ELLISTON HOUSE,OLD KENT ROAD,,,"land at Avondale Square, London",200003499610,"GEORGE ELLISTON HOUSE, OLD KENT ROAD, LONDON, SE1 5ET",GEORGE ELLISTON HOUSE OLD KENT ROAD
SE1 2JX,200003356976,203,TOOLEY STREET,,,"192 to 196 (even) Tower Bridge Road, London (SE1 2JN)",200003356976,"203 TOOLEY STREET, LONDON, SE1 2JX",203 TOOLEY STREET
SE1 5ES,200003499609,ERIC WILKINS HOUSE,OLD KENT ROAD,,,the site of The Marlborough Congregational Chapel and 511 Old Kent Road,200003499609,"ERIC WILKINS HOUSE, OLD KENT ROAD, LONDON, SE1 5ES",ERIC WILKINS HOUSE OLD KENT ROAD
SE1 5NJ,200003499608,DOVER FLATS,OLD KENT ROAD,,,"Dover Buildings 165, 167, 169 and 171 Old Kent Road, Waleran Buildings and Kingsley Buildings Old Kent Road, London",200003499608,"DOVER FLATS, OLD KENT ROAD, LONDON, SE1 5NJ",DOVER FLATS OLD KENT ROAD
SE1 4NU,200003499607,"CHARLOTTE COURT, 68B",OLD KENT ROAD,,,"68b Old Kent Road, London (SE1 4NU)",200003499607,"CHARLOTTE COURT, 68B, OLD KENT ROAD, LONDON, SE1 4NU",CHARLOTTE COURT 68B OLD KENT ROAD
SE16 7TN,200003499592,"NEW CALEDONIAN WHARF, 6",ODESSA STREET,,,"New Caledonian Wharf, Odessa Street, London",200003499592,"NEW CALEDONIAN WHARF, 6 ODESSA STREET, LONDON, SE16 7TN",NEW CALEDONIAN WHARF 6 ODESSA STREET
SE16 7LX,200003499588,CUSTOM HOUSE REACH,ODESSA STREET,,,"Custom House Reach and 4 and 5 Odessa Street, London (SE16 7LX)",200003499588,"CUSTOM HOUSE REACH, ODESSA STREET, LONDON, SE16 7LX",CUSTOM HOUSE REACH ODESSA STREET
SE1 6BA,200003499528,"METRO CENTRAL HEIGHTS, 119",NEWINGTON CAUSEWAY,,,"Metro Central Heights, Newington Causeway",200003499528,"METRO CENTRAL HEIGHTS, 119 NEWINGTON CAUSEWAY, LONDON, SE1 6BA",METRO CENTRAL HEIGHTS 119 NEWINGTON CAUSEWAY
SE1 6PH,200003499504,ALBERT BARNES HOUSE,NEW KENT ROAD,,,land on the west side of Meadow Row and the site of Arch Street,200003499504,"ALBERT BARNES HOUSE, NEW KENT ROAD, LONDON, SE1 6PH",ALBERT BARNES HOUSE NEW KENT ROAD
SE1 0LT,200003499497,ROWLAND HILL HOUSE,NELSON SQUARE,,,"Rowland Hill House, Applegarth House, Helen Gladstone House, Vaughan House and The Lord Nelson Public House, Nelson Square",200003499497,"ROWLAND HILL HOUSE, NELSON SQUARE, LONDON, SE1 0LT",ROWLAND HILL HOUSE NELSON SQUARE
SE1 0PZ,200003499495,APPLEGARTH HOUSE,NELSON SQUARE,,,"Rowland Hill House, Applegarth House, Helen Gladstone House, Vaughan House and The Lord Nelson Public House, Nelson Square",200003499495,"APPLEGARTH HOUSE, NELSON SQUARE, LONDON, SE1 0PZ",APPLEGARTH HOUSE NELSON SQUARE
SE1 7QQ,200003499458,GUTHRIE COURT,MORLEY STREET,,,"land lying between Dodson Street, Gerridge Street, Morley Street and Westminster Bridge Road, London",200003499458,"GUTHRIE COURT, MORLEY STREET, LONDON, SE1 7QQ",GUTHRIE COURT MORLEY STREET
SE1 7QE,200003499457,AMIGO HOUSE,MORLEY STREET,,,"FLAT 1, AMIGO HOUSE MORLEY STREET, LONDON SE1 7QE",200003499457,"AMIGO HOUSE, MORLEY STREET, LONDON, SE1 7QE",AMIGO HOUSE MORLEY STREET
SE17 1EB,200003499454,CURTIS HOUSE BROWNING ESTATE,MORECAMBE STREET,,,"Curtis House, Gower House and Paxton House, Morecambe Street, Ellis House, Marnock House and Harrison House, Brandon Street, Nicholson House and Newbolt House, East Street, Barrett House and The Browning Playground, Browning Street, and Coleridge House, Cowper House, Gray House, Shelley House, Southey House and Tennyson House, King and Queen Street, London",200003499454,"CURTIS HOUSE BROWNING ESTATE, MORECAMBE STREET, LONDON, SE17 1EB",CURTIS HOUSE BROWNING ESTATE MORECAMBE STREET
SE1 2BD,200003499428,"LLOYDS WHARF, 3",MILL STREET,,,"Scotts Sufferance Wharf, St Saviour's Dock, Tower Bridge",200003499428,"LLOYDS WHARF, 3 MILL STREET, LONDON, SE1 2BD",LLOYDS WHARF 3 MILL STREET
SE1 2BZ,200003499427,"VOGANS MILL WHARF, 17",MILL STREET,LONDON,SE1 2BF,"Vogans Mill Wharf, 17 Mill Street, London (SE1 2BZ)",200003499427,"VOGANS MILL WHARF, MILL STREET, LONDON, SE1 2BZ",VOGANS MILL WHARF MILL STREET
SE1 2BQ,200003499422,"CHINA WHARF, 29",MILL STREET,,,"Land on the north west side of Mill Street, London",200003499422,"CHINA WHARF, 29 MILL STREET, LONDON, SE1 2BQ",CHINA WHARF 29 MILL STREET
SE1 1EW,200003499362,ILFRACOMBE FLATS,MARSHALSEA ROAD,,,"Ilfracombe Flats, Marshalsea Road, London (SE1 1EW)",200003499362,"ILFRACOMBE FLATS, MARSHALSEA ROAD, LONDON, SE1 1EW",ILFRACOMBE FLATS MARSHALSEA ROAD
SE15 5TA,200003499333,"HARDCASTLE HOUSE, 1A",MARMONT ROAD,,,"land and buildings forming part of Oliver Goldsmith Estate on the north side of Peckham High Street, the south side of Goldsmith Road, the east side of Peckham Hill Street and the west side of Marmont Road, London",200003499333,"HARDCASTLE HOUSE, MARMONT ROAD, LONDON, SE15 5TA",HARDCASTLE HOUSE MARMONT ROAD
SE1 4DL,200003499307,TABARD HOUSE,MANCIPLE STREET,,,"Tabard House, Manciple Street, London (SE1 4DL)",200003499307,"TABARD HOUSE, MANCIPLE STREET, LONDON, SE1 4DL",TABARD HOUSE MANCIPLE STREET
SE1 4LP,200003499305,ROCHESTER HOUSE,MANCIPLE STREET,,,"100 and 102 Long Lane, Aylesford House, Long Lane, Medway House, Hankey Place, Strood House, Staple Street, Rochester House, Manciple Street and 3 Hankey Place, London",200003499305,"ROCHESTER HOUSE, MANCIPLE STREET, LONDON, SE1 4LP",ROCHESTER HOUSE MANCIPLE STREET
SE1 4DN,200003499304,HUBERD HOUSE,MANCIPLE STREET,,,"Huberd House, Manciple Street, (SE1 4DN)",200003499304,"HUBERD HOUSE, MANCIPLE STREET, LONDON, SE1 4DN",HUBERD HOUSE MANCIPLE STREET
SE1 4LN,200003499303,HARBLEDOWN HOUSE,MANCIPLE STREET,,,"Land to the North East of Tabard Street, London",200003499303,"HARBLEDOWN HOUSE, MANCIPLE STREET, LONDON, SE1 4LN",HARBLEDOWN HOUSE MANCIPLE STREET
SE1 1GH,200003499299,"WILTSHIRE HOUSE, 2",MAIDSTONE BUILDINGS MEWS,,,"72-76 Borough High Street, London",200003499299,"WILTSHIRE HOUSE, 2 MAIDSTONE BUILDINGS MEWS, LONDON, SE1 1GH",WILTSHIRE HOUSE 2 MAIDSTONE BUILDINGS MEWS
SE17 2LR,200003499295,LEYSDOWN HOUSE KINGLAKE ESTATE,MADRON STREET,,,"Leysdown House, Flinton Street, Ifield House, Madron Street, Hadlow House, Barham House, Bethersden House, Southborough House, Tenterden House, Faversham House, Keston House, Amery House, and Swanley House, Kinglake Street, 1 to 43 (inclusive) Kinglake Street, Deal House, Littlebourne House, Groombridge House, Cuxton House, Benenden House, Mina Road, 2 to 12 (inclusive) Mina Road, 1 to 17 (inclusive) Ivy Church Lane",200003499295,"LEYSDOWN HOUSE KINGLAKE ESTATE, MADRON STREET, LONDON, SE17 2LR",LEYSDOWN HOUSE KINGLAKE ESTATE MADRON STREET
SE19 1LS,200003499263,RALEIGH COURT,LYMER AVENUE,,,"Lymer Avenue Estate, Lymer Avenue, London",200003499263,"RALEIGH COURT, LYMER AVENUE, LONDON, SE19 1LS",RALEIGH COURT LYMER AVENUE
SE1 0NR,200003355143,51,EWER STREET,,,,200003355143,"51 EWER STREET, LONDON, SE1 0NR",51 EWER STREET
SE19 1LP,200003499262,MARLOWE COURT,LYMER AVENUE,,,"Lymer Avenue Estate, Lymer Avenue, London",200003499262,"MARLOWE COURT, LYMER AVENUE, LONDON, SE19 1LP",MARLOWE COURT LYMER AVENUE
SE19 1LR,200003499261,GRENVILLE COURT,LYMER AVENUE,,,"Lymer Avenue Estate, Lymer Avenue, London",200003499261,"GRENVILLE COURT, LYMER AVENUE, LONDON, SE19 1LR",GRENVILLE COURT LYMER AVENUE
SE5 9HA,200003499255,WEYHILL HOUSE CRAWFORD ESTATE,LOWTH ROAD,,,"Crawford Housing Estate, London",200003499255,"WEYHILL HOUSE CRAWFORD ESTATE, LOWTH ROAD, LONDON, SE5 9HA",WEYHILL HOUSE CRAWFORD ESTATE LOWTH ROAD
SE16 2XG,200003499240,"MANSION WHARF HOUSE, 101",LOWER ROAD,,,,200003499240,"MANSION WHARF HOUSE, 101 LOWER ROAD, LONDON, SE16 2XG",MANSION WHARF HOUSE 101 LOWER ROAD
SE16 2XH,200003499238,COURTHOPE HOUSE,LOWER ROAD,,,"Land on the south west side of Lower Road, London",200003499238,"COURTHOPE HOUSE, LOWER ROAD, LONDON, SE16 2XH",COURTHOPE HOUSE LOWER ROAD
SE22 8NY,200003499190,GLENNIE COURT,LORDSHIP LANE,,,"498 to 520 (even numbers) Lordship Lane and Courage's Sports Ground, Dulwich Common, London",200003499190,"GLENNIE COURT, LORDSHIP LANE, LONDON, SE22 8NY",GLENNIE COURT LORDSHIP LANE
SE22 8NU,200003499188,CAMPBELL COURT,LORDSHIP LANE,,,"498 to 520 (even numbers) Lordship Lane and Courage's Sports Ground, Dulwich Common, London",200003499188,"CAMPBELL COURT, LORDSHIP LANE, LONDON, SE22 8NU",CAMPBELL COURT LORDSHIP LANE
SE22 8PB,200003499187,BYRON COURT,LORDSHIP LANE,,,"498 to 520 (even numbers) Lordship Lane and Courage's Sports Ground, Dulwich Common, London",200003499187,"BYRON COURT, LORDSHIP LANE, LONDON, SE22 8PB",BYRON COURT LORDSHIP LANE
SE1 4BN,200003499178,102,LONG LANE,,,"100 and 102 Long Lane, Aylesford House, Long Lane, Medway House, Hankey Place, Strood House, Staple Street, Rochester House, Manciple Street and 3 Hankey Place, London",200003499178,"102 LONG LANE, LONDON, SE1 4BN",102 LONG LANE
SE1 4BW,200003499177,100,LONG LANE,,,"100 and 102 Long Lane, Aylesford House, Long Lane, Medway House, Hankey Place, Strood House, Staple Street, Rochester House, Manciple Street and 3 Hankey Place, London",200003499177,"100 LONG LANE, LONDON, SE1 4BW",100 LONG LANE
SE1 4PF,200003499175,"MADISON APARTMENTS, 5-27",LONG LANE,,,"land on the north side of Long Lane, London",200003499175,"MADISON APARTMENTS, 5-27, LONG LANE, LONDON, SE1 4PF",MADISON APARTMENTS 5-27 LONG LANE
SE1 4BL,200003499171,AYLESFORD HOUSE,LONG LANE,,,"100 and 102 Long Lane, Aylesford House, Long Lane, Medway House, Hankey Place, Strood House, Staple Street, Rochester House, Manciple Street and 3 Hankey Place, London",200003499171,"AYLESFORD HOUSE, LONG LANE, LONDON, SE1 4BL",AYLESFORD HOUSE LONG LANE
SE1 6LW,200003499166,ELEPHANT AND CASTLE UNDERGROUND STATION,LONDON ROAD,,,"Elephant & Castle Station, London Road, London (SE1 6LW)",200003499166,"ELEPHANT AND CASTLE UNDERGROUND STATION, LONDON ROAD, LONDON, SE1 6LW",ELEPHANT AND CASTLE UNDERGROUND STATION LONDON ROAD
SE16 4XA,200003499157,WRAYBURN HOUSE DICKENS ESTATE,LLEWELLYN STREET,,,"Micawber House, Scott Lidgett Crescent and Wrayburn House, Bevington Street, London",200003499157,"WRAYBURN HOUSE DICKENS ESTATE, LLEWELLYN STREET, LONDON, SE16 4XA",WRAYBURN HOUSE DICKENS ESTATE LLEWELLYN STREET
SE16 4UX,200003499156,TUPMAN HOUSE DICKENS ESTATE,LLEWELLYN STREET,,,"land and buildings in Jamaica Road and Scott Lidgett Crescent, Bermondsey, London",200003499156,"TUPMAN HOUSE DICKENS ESTATE, LLEWELLYN STREET, LONDON, SE16 4UX",TUPMAN HOUSE DICKENS ESTATE LLEWELLYN STREET
SE16 4XE,200003499155,RUDGE HOUSE DICKENS ESTATE,LLEWELLYN STREET,,,"land and buildings in Jamaica Road and Scott Lidgett Crescent, Bermondsey, London",200003499155,"RUDGE HOUSE DICKENS ESTATE, LLEWELLYN STREET, LONDON, SE16 4XE",RUDGE HOUSE DICKENS ESTATE LLEWELLYN STREET
SE1 4XQ,200003499102,WESTERHAM HOUSE,LAW STREET,,,"Land at Potier Street, London",200003499102,"WESTERHAM HOUSE, LAW STREET, LONDON, SE1 4XQ",WESTERHAM HOUSE LAW STREET
SE1 4XF,200003499100,SHALFORD HOUSE,LAW STREET,,,"Land at Potier Street, London",200003499100,"SHALFORD HOUSE, LAW STREET, LONDON, SE1 4XF",SHALFORD HOUSE LAW STREET
SE1 4EA,200003499098,CHILHAM HOUSE,LAW STREET,,,"Land to the North East of Tabard Street, London",200003499098,"CHILHAM HOUSE, LAW STREET, LONDON, SE1 4EA",CHILHAM HOUSE LAW STREET
SE1 1JU,200003499025,REDMAN HOUSE,LANT STREET,,,"land on the north west side of Borough High Street, London",200003499025,"REDMAN HOUSE, LANT STREET, LONDON, SE1 1JU",REDMAN HOUSE LANT STREET
SE1 1PJ,200003499024,LANT HOUSE LANT ESTATE,LANT STREET,,,"101 to 109 (odd) Great Suffolk Street, Bittern House, Bittern Street, Lant House, Lant Street and Trundle House, Trundle Street, London",200003499024,"LANT HOUSE LANT ESTATE, LANT STREET, LONDON, SE1 1PJ",LANT HOUSE LANT ESTATE LANT STREET
SE1 6HT,200003499002,6,LAMBETH ROAD,,,"6 Lambeth Road, London (SE1 6HU)",200003499002,"6 LAMBETH ROAD, LONDON, SE1 6HT",6 LAMBETH ROAD
SE1 2LR,200003498999,"RAVEN WHARF APARTMENTS, 14",LAFONE STREET,,,"10 to 16 (even numbers) Lafone Street, Bermondsey",200003498999,"RAVEN WHARF APARTMENTS, 14 LAFONE STREET, LONDON, SE1 2LR",RAVEN WHARF APARTMENTS 14 LAFONE STREET
SE1 2LR,200003498998,2,LAFONE STREET,,,"10 to 16 (even numbers) Lafone Street, Bermondsey",200003498998,"2 LAFONE STREET, LONDON, SE1 2LR",2 LAFONE STREET
SE1 2LX,200003498995,"EAGLE WHARF COURT, 59",LAFONE STREET,,,"Land and buildings on the south east side of Horselydown Lane, London",200003498995,"EAGLE WHARF COURT, 59 LAFONE STREET, LONDON, SE1 2LX",EAGLE WHARF COURT 59 LAFONE STREET
SE1 0AA,200003498934,STUDENT UNION SHOPPING MALL,KEYWORTH STREET,,,"Land on the east side of Keyworth Street, London (SE1 6NG)",200003498934,"STUDENT UNION SHOPPING MALL, KEYWORTH STREET, LONDON, SE1 0AA",STUDENT UNION SHOPPING MALL KEYWORTH STREET
SE11 4JT,200003498908,KENNINGTON PARK HOUSE,KENNINGTON PARK PLACE,,,"169 Kennington Park Road and Kennington Theatre, Kennington Park Road",200003498908,"KENNINGTON PARK HOUSE, KENNINGTON PARK PLACE, LONDON, SE11 4JT",KENNINGTON PARK HOUSE KENNINGTON PARK PLACE
SE5 0SY,200003498901,TREVELYAN HOUSE BRANDON ESTATE,JOHN RUSKIN STREET,,,"Trevelyan House, John Ruskin Street, London (SE5 0SY)",200003498901,"TREVELYAN HOUSE BRANDON ESTATE, JOHN RUSKIN STREET, LONDON, SE5 0SY",TREVELYAN HOUSE BRANDON ESTATE JOHN RUSKIN STREET
SE5 0XF,200003498900,HANWORTH HOUSE BRANDON ESTATE,JOHN RUSKIN STREET,,,"20, 22 and 40 St Agnes Place, land and buildings on the north east and south west sides of Warham Street, land on the south west side of Farmers Road, Hanworth House, Camberwell New Road and part of Aberfeldy House, John Ruskin Street, London",200003498900,"HANWORTH HOUSE BRANDON ESTATE, JOHN RUSKIN STREET, LONDON, SE5 0XF",HANWORTH HOUSE BRANDON ESTATE JOHN RUSKIN STREET
SE5 0XH,200003498898,ABERFELDY HOUSE BRANDON ESTATE,JOHN RUSKIN STREET,,,"known as land and buildings on the north east side of Camberwell New Road, London",200003498898,"ABERFELDY HOUSE BRANDON ESTATE, JOHN RUSKIN STREET, LONDON, SE5 0XH",ABERFELDY HOUSE BRANDON ESTATE JOHN RUSKIN STREET
SE16 4SH,200003498885,SPENLOW HOUSE DICKENS ESTATE,JAMAICA ROAD,,,"land and buildings in Jamaica Road and Scott Lidgett Crescent, Bermondsey, London",200003498885,"SPENLOW HOUSE DICKENS ESTATE, JAMAICA ROAD, LONDON, SE16 4SH",SPENLOW HOUSE DICKENS ESTATE JAMAICA ROAD
SE1 2BU,200003498881,DEVON MANSIONS,JAMAICA ROAD,,,"455 to 489 Devon Mansions, Jamaica Road,  London (SE1 2BU)",200003498881,"DEVON MANSIONS, JAMAICA ROAD, LONDON, SE1 2BU",DEVON MANSIONS JAMAICA ROAD
SE17 2HU,200003498851,MISSENDEN,INVILLE ROAD,,,"44 to 255  Missenden, Inville Road, London, 1 to 12 Lees House, Inville Road, London and 1 to 8 Darvell House, Inville Road, London",200003498851,"MISSENDEN, INVILLE ROAD, LONDON, SE17 2HU",MISSENDEN INVILLE ROAD
SE1 2LH,200003498830,"ADMIRALS COURT, 30",HORSELYDOWN LANE,,,"Land and buildings on the south east side of Horselydown Lane, London",200003498830,"ADMIRALS COURT, 30 HORSELYDOWN LANE, LONDON, SE1 2LH",ADMIRALS COURT 30 HORSELYDOWN LANE
SE1 9GZ,200003498824,69,HOPTON STREET,,,Land on the east side of Hopton Street,200003498824,"69 HOPTON STREET, LONDON, SE1 9GZ",69 HOPTON STREET
SE1 9GZ,200003498823,65,HOPTON STREET,,,Land on the east side of Hopton Street,200003498823,"65 HOPTON STREET, LONDON, SE1 9GZ",65 HOPTON STREET
SE1 9JH,200003498819,FALCON POINT,HOPTON STREET,,,,200003498819,"FALCON POINT, HOPTON STREET, LONDON, SE1 9JH",FALCON POINT HOPTON STREET
SE17 3PH,200003498761,PRESCOTT HOUSE BRANDON ESTATE,HILLINGDON STREET,,,"land lying to the north and south of Lorrimore Square and south of Bethwin Road, London",200003498761,"PRESCOTT HOUSE BRANDON ESTATE, HILLINGDON STREET, LONDON, SE17 3PH",PRESCOTT HOUSE BRANDON ESTATE HILLINGDON STREET
SE22 9LA,200003498745,THE SCHOOL HOUSE,HEBER ROAD,,,"Heber School, Heber Road, London (SE22 9LA)",200003498745,"THE SCHOOL HOUSE, HEBER ROAD, LONDON, SE22 9LA",THE SCHOOL HOUSE HEBER ROAD
SE1 8DF,200003498732,STYLES HOUSE,HATFIELDS,,,"Land on the north side of The Cut, Southwark",200003498732,"STYLES HOUSE, HATFIELDS, LONDON, SE1 8DF",STYLES HOUSE HATFIELDS
SE5 7SA,200003498730,RUMBALL HOUSE DOWLAS ESTATE,HARRIS STREET,,,"Elmington Housing Estate, Elmington Road, London",200003498730,"RUMBALL HOUSE DOWLAS ESTATE, HARRIS STREET, LONDON, SE5 7SA",RUMBALL HOUSE DOWLAS ESTATE HARRIS STREET
SE5 7RZ,200003498729,RILL HOUSE DOWLAS ESTATE,HARRIS STREET,,,"Elmington Housing Estate, Elmington Road, London",200003498729,"RILL HOUSE DOWLAS ESTATE, HARRIS STREET, LONDON, SE5 7RZ",RILL HOUSE DOWLAS ESTATE HARRIS STREET
SE1 6QD,200003498727,NEWALL HOUSE ROCKINGHAM ESTATE,HARPER ROAD,,,"Telford House, Tiverton Street, Rankine House, Stephenson House, Rennie House, Rumford House, Banks House, Binnie House, Brunlees House and The Uxbridge Arms Public House, Bath Terrace, Aird House, Arrol House, Longridge House, Martin House and The King William IV Public House, Rockingham Street, Ellington House, Harper Road, The Community Centre, Falmouth Road and 1 to 28 Bath Terrace, London",200003498727,"NEWALL HOUSE ROCKINGHAM ESTATE, HARPER ROAD, LONDON, SE1 6QD",NEWALL HOUSE ROCKINGHAM ESTATE HARPER ROAD
SE1 6AD,200003498726,ELLINGTON HOUSE ROCKINGHAM ESTATE,HARPER ROAD,,,"Telford House, Tiverton Street, Rankine House, Stephenson House, Rennie House, Rumford House, Banks House, Binnie House, Brunlees House and The Uxbridge Arms Public House, Bath Terrace, Aird House, Arrol House, Longridge House, Martin House and The King William IV Public House, Rockingham Street, Ellington House, Harper Road, The Community Centre, Falmouth Road and 1 to 28 Bath Terrace, London",200003498726,"ELLINGTON HOUSE ROCKINGHAM ESTATE, HARPER ROAD, LONDON, SE1 6AD",ELLINGTON HOUSE ROCKINGHAM ESTATE HARPER ROAD
SE1 6RJ,200003498725,BRAMWELL HOUSE ROCKINGHAM ESTATE,HARPER ROAD,,,"Whitworth House and  Bramwell House, The Rising Sun Public House and 100 and 102 Harper Road, Wicksteed House, Cartwright House, Varley House, Wheatstone House and Crompton House, County Street and Edison House, Munton Road",200003498725,"BRAMWELL HOUSE ROCKINGHAM ESTATE, HARPER ROAD, LONDON, SE1 6RJ",BRAMWELL HOUSE ROCKINGHAM ESTATE HARPER ROAD
SE1 4BJ,200003498717,MEDWAY HOUSE,HANKEY PLACE,,,"100 and 102 Long Lane, Aylesford House, Long Lane, Medway House, Hankey Place, Strood House, Staple Street, Rochester House, Manciple Street and 3 Hankey Place, London",200003498717,"MEDWAY HOUSE, HANKEY PLACE, LONDON, SE1 4BJ",MEDWAY HOUSE HANKEY PLACE
SE1 1NY,200003498635,202,GREAT SUFFOLK STREET,,,"202 Great Suffolk Street, (SE1 1NY)",200003498635,"202 GREAT SUFFOLK STREET, LONDON, SE1 1NY",202 GREAT SUFFOLK STREET
SE1 1NZ,200003498629,COLLINSON COURT,GREAT SUFFOLK STREET,,,"Flats 1 to 72 (inclusive) Collinson Court and 158 to 176 (even) Great Suffolk Street, London",200003498629,"COLLINSON COURT, GREAT SUFFOLK STREET, LONDON, SE1 1NZ",COLLINSON COURT GREAT SUFFOLK STREET
SE1 0AS,200003498625,"HENLEY APARTMENTS, 33",GREAT GUILDFORD STREET,,,"Henley Apartments, 33 Great Guildford Street, London (SE1 0FA)",200003498625,"HENLEY APARTMENTS, 33 GREAT GUILDFORD STREET, LONDON, SE1 0AS",HENLEY APARTMENTS 33 GREAT GUILDFORD STREET
SE1 9EP,200003498624,21,GREAT GUILDFORD STREET,,,"19-23a Great Guildford Street, London (SE1 9EZ)",200003498624,"21 GREAT GUILDFORD STREET, LONDON, SE1 9EP",21 GREAT GUILDFORD STREET
SE1 4XR,200003498623,"KITTIWAKE COURT, 4",GREAT DOVER STREET,,,"239 Borough High Street, London (SE1 1AE)",200003498623,"KITTIWAKE COURT, 4 GREAT DOVER STREET, LONDON, SE1 4XR",KITTIWAKE COURT 4 GREAT DOVER STREET
SE1 3AN,200003498617,"SKYLINE COURT, 9",GRANGE YARD,,,"The Grange, Bermondsey, London (SE1 3AG)",200003498617,"SKYLINE COURT, 9 GRANGE YARD, LONDON, SE1 3AN",SKYLINE COURT 9 GRANGE YARD
SE1 3BT,200003498577,"BRIDGE VIEW COURT, 19",GRANGE ROAD,,,"Bridge View Court, 19 Grange Road, London and electricity sub-station (SE1 3BT)",200003498577,"BRIDGE VIEW COURT, 19 GRANGE ROAD, LONDON, SE1 3BT",BRIDGE VIEW COURT 19 GRANGE ROAD
SE15 2AA,200003498547,20,GORDON ROAD,,,"Camberwell Reception Centre, Gordon Road, Camberwell",200003498547,"20 GORDON ROAD, LONDON, SE15 2AA",20 GORDON ROAD
SE19 1UL,200003497855,PRINCESS COURT,COLLEGE ROAD,,,"land at College Road, London",200003497855,"PRINCESS COURT, COLLEGE ROAD, LONDON, SE19 1UL",PRINCESS COURT COLLEGE ROAD
SE15 5SY,200003498533,JARVIS HOUSE,GOLDSMITH ROAD,,,"land and buildings forming part of Oliver Goldsmith Estate on the north side of Peckham High Street, the south side of Goldsmith Road, the east side of Peckham Hill Street and the west side of Marmont Road, London",200003498533,"JARVIS HOUSE, GOLDSMITH ROAD, LONDON, SE15 5SY",JARVIS HOUSE GOLDSMITH ROAD
SE15 5SX,200003498532,HONEYWOOD HOUSE,GOLDSMITH ROAD,,,"land and buildings forming part of Oliver Goldsmith Estate on the north side of Peckham High Street, the south side of Goldsmith Road, the east side of Peckham Hill Street and the west side of Marmont Road, London",200003498532,"HONEYWOOD HOUSE, GOLDSMITH ROAD, LONDON, SE15 5SX",HONEYWOOD HOUSE GOLDSMITH ROAD
SE15 5UB,200003498531,ANGELINA HOUSE,GOLDSMITH ROAD,,,"land at Leontine Close, London",200003498531,"ANGELINA HOUSE, GOLDSMITH ROAD, LONDON, SE15 5UB",ANGELINA HOUSE GOLDSMITH ROAD
SE19 1PJ,200003498502,FORBES COURT,GIPSY HILL,,,"Land At, Woodland Road, London",200003498502,"FORBES COURT, GIPSY HILL, LONDON, SE19 1PJ",FORBES COURT GIPSY HILL
SE15 2RS,200003498496,"GRENIER APARTMENTS, 18",GERVASE STREET,,,"Peckham Centre, Leo Street, London",200003498496,"GRENIER APARTMENTS, 18 GERVASE STREET, LONDON, SE15 2RS",GRENIER APARTMENTS 18 GERVASE STREET
SE1 7QH,200003498494,JURSTON COURT,GERRIDGE STREET,,,"land lying between Dodson Street, Gerridge Street, Morley Street and Westminster Bridge Road, London",200003498494,"JURSTON COURT, GERRIDGE STREET, LONDON, SE1 7QH",JURSTON COURT GERRIDGE STREET
SE16 4UU,200003498491,WELLER HOUSE DICKENS ESTATE,GEORGE ROW,,,"Pickwick House, George Row, Weller House and Oliver House, East Lane",200003498491,"WELLER HOUSE DICKENS ESTATE, GEORGE ROW, LONDON, SE16 4UU",WELLER HOUSE DICKENS ESTATE GEORGE ROW
